enrollment,student_status,q_option,total,correct,wrong,skip,percentage,submitted_time,result_status
MCA20267001,not_enrolled,"q1,q2",,,,,,,
MCA20267002,not_enrolled,"q1,q2",,,,,,,
MCA20267003,not_enrolled,"q1,q2",,,,,,,
MCA20267004,not_enrolled,"q1,q2",,,,,,,
MCA20267005,not_enrolled,"q1,q2",,,,,,,
MCA20267006,not_enrolled,"q1,q2",,,,,,,
MCA20267007,not_enrolled,"q1,q2",,,,,,,
MCA20267008,not_enrolled,"q1,q2",,,,,,,
MCA20267009,not_enrolled,"q1,q2",,,,,,,
MCA20267010,not_enrolled,"q1,q2",,,,,,,
