enrollment,student_status,q_option,total,correct,wrong,skip,percentage,submitted_time,result_status
MCA20263001,enrolled,1,1,1,0,0,100.0,2026-09-21T14:27:23.192505+00:00,pass
MCA20263002,enrolled,"2,1,1,1,2",5,2,3,0,37.5,2026-09-21T14:34:41.644176+00:00,pass
MCA20263003,not_enrolled,"q1,q2,q3,q4,q5",,,,,,,
MCA20263004,not_enrolled,"q1,q2,q3,q4,q5",,,,,,,
MCA20263005,not_enrolled,"q1,q2,q3,q4,q5",,,,,,,
MCA20263006,not_enrolled,"q1,q2,q3,q4,q5",,,,,,,
MCA20263007,not_enrolled,"q1,q2,q3,q4,q5",,,,,,,
MCA20263008,enrolled,"q1,q2,q3,q4,q5",,,,,,,
MCA20263009,not_enrolled,"q1,q2,q3,q4,q5",,,,,,,
MCA20263010,not_enrolled,"q1,q2,q3,q4,q5",,,,,,,
